Feature / Attribute Name,Module (ex. Backup / Schema / AI / Admin),"Primary Value Metric (ex. GB, Frequency, Credits, Workspaces, Feature Access, etc.)",Cost to Baseout,Perceived Value to Customer (Essential/High/Med/Low),Perceived Value to Customer $,Proposed Tier Placement (per Features.md — Trial/Starter/Launch/Growth/Pro/Business/Enterprise),Notes
Backup audit report + per-entity verification,Backup,Feature Access,Negligible,High,$10–20/mo (provable backups; answers auditor RTO/RPO questions Airtable can't),Core — all tiers,Partially built. Pairs with the Veeam '58% of backups fail' narrative
Detailed audit logs + history retention,Backup,Duration (30d → 24mo),Small storage,Med,$5–15/mo,Starter+ (retention ladder),Partially built
Restore — base level (point-in-time),Restore,Included restores/mo (1 → unlimited),Reverse-transfer compute; Airtable write API is slow + rate-limited,Essential,$20–50/mo insurance value (but per positioning: never LEAD with recovery),Core — all tiers; count ladder,❌ Not built (UI placeholder). Extras: 40 cr records-only / 75 cr with attachments
Restore — table level,Restore,Feature Access,Same reverse-transfer compute,High,$10–20/mo,Starter+,❌ Not built. Granular restore is ProBackup's headline — we must match
Restore to new base / new table,Restore,Feature Access,Same,High,Bundled with restore value,Core / Starter+,❌ Not built. Note: third-party restores can't preserve record IDs (only native snapshots do)
Post-restore verification,Restore,Feature Access,Negligible,Med,$5/mo,Launch+,❌ Not built. Completes the provable-backup loop
Community restore tooling (AI prompts to rebuild automations/interfaces),Restore,Feature Access,~Zero — curated prompts + docs; customer executes,Med,$5–10/mo,Growth+,Clever zero-COGS answer to the API ceiling no competitor addresses
Schema visualization (auto ERD),Schema,Feature Access (basic → full),Negligible (schema-only D1 suffices),High,$15–30/mo (anchor: On2Air Schemas died leaving category VACANT; native extension is view-only),Core basic at Trial; full Launch+,Partially built. Also the pre-registration top-of-funnel hook — OAuth in and see your diagram before signup
Schema changelog (field/table/view change history),Schema,Retention duration (30d → 24mo → custom),Small storage — grows with retention,Essential (consultants/admins),"$20–40/mo (""Field X was deleted March 12"" — the daily-use surface; no native equivalent exists at ANY Airtable tier)",Starter+ (retention ladder),❌ Not built. Highest-conviction differentiator in the research; turns Baseout from insurance into admin console
Schema health score + configurable audit rules,Schema,Feature Access / rule configurability,Negligible,High,$10–20/mo,Basic Starter+; configurable Pro+,❌ Not built. Rules: naming consistency; dead fields; circular lookups; formula errors
Schema documentation (manual rich-text docs + tags),Schema,Feature Access,Negligible,Med,$5–15/mo,Launch+,Partially built (API routes exist). Consultants hand-maintain rotting docs today
AI-generated schema documentation,Schema / AI,Credits (10/run),LLM inference — cents per generation (Workers AI open model),High,$15–30/mo (kills the docs-rot problem per client),Pro+,❌ Not built. V1 scope. Credit-metered so COGS is covered
Dead field detection + naming convention audit,Schema,Feature Access,Negligible,Med,$5–10/mo,Pro+,❌ Not built
Schema management actions (rename/write descriptions back to Airtable),Schema,Feature Access,Airtable API write calls,Med,$10/mo,Pro+,V2 — writeback is risky; needs safeguards
Diagram export (PNG / SVG / PDF / embed widget),Schema,Format access ladder,Negligible,Low–Med,$0–5/mo,PNG Growth / +SVG Pro / +PDF Business / all+embed Enterprise,❌ Not built. Consultant deliverable use case
Record count dashboard + per-table/base metrics,Data,Feature Access,DB storage at rest (needs full dynamic DB),Med,$5–10/mo,Launch+ (dynamic only),❌ Not built
Data changelog (record-level change history),Data,Retention duration (90d → 24mo),Full dynamic DB storage,High,"$20–40/mo (Airtable audit logs are Enterprise-only, 180 days, and miss record-level changes entirely)",Launch+ (retention ladder),❌ Not built. Answers 'who changed what' below Airtable Enterprise
Data alerts (threshold / field-match / anomaly / growth),Data,Rule count (5 → 25 → unlimited),Compute per scan,Med–High,$10–20/mo,Pro+ (anomaly + PII alerts Business+),❌ Not built. V2 leaning
PII detection + sensitive-data scanning,Data / Governance,Feature Access,Compute per scan,High (compliance segment),$25–50/mo (feeds GDPR/SOC 2 answers),Business+,❌ Not built. Could ship as V1 preview per open question #12
Data insights / reports / visualization,Data,Feature Access (basic → advanced),Full dynamic DB + compute,Med,$10–20/mo,Insights+viz Pro+; reports Business+,❌ Not built
Data growth trends,Data,Feature Access,Negligible on top of dynamic DB,Low–Med,$0–5/mo,Launch+,❌ Not built. Nice-to-have chart
Automation backup + changelog,Automations,Feature Access + retention,Negligible (MCP-based auto-capture; intake fallback via Inbound API/scripts/forms),High,"$15–30/mo (automations are INVISIBLE to the Airtable REST API — no competitor captures them; consultants call tracking them ""the bit that's much harder to deal with"")",Launch+,"❌ Not built. UPDATE 2026-07-25: Airtable MCP now exposes automations — Baseout backs them up AUTOMATICALLY via MCP when the customer enables it; intake remains for non-MCP customers / beyond-MCP data. Moat = execution speed, not impossibility"
Automation insights / documentation / alerts / visualization,Automations,Feature Access ladder,Negligible–small,Med,$5–15/mo,Docs Growth+ / insights Pro+ / alerts+viz Business+,❌ Not built. Visualization is V2
Interface backup + changelog,Interfaces,Feature Access + retention,Negligible (MCP-based auto-capture; intake fallback),High,$10–20/mo (same REST-API-ceiling story as automations),Launch+,"❌ Not built. UPDATE 2026-07-25: auto-capture via Airtable MCP, intake as fallback (see automation row)"
Interface insights / documentation / alerts / visualization,Interfaces,Feature Access ladder,Negligible–small,Med,$5–10/mo,Docs Growth+ / insights Pro+ / alerts+viz Business+,❌ Not built. Visualization is V2
AI schema insights,AI,Credits (5/run),LLM inference — cents per run,Med–High,$10–20/mo,Pro+,❌ Not built. V1 scope
MCP server (expose data layer to Claude/ChatGPT),AI,Feature Access,Inference + serving infra,High (rising fast — Airtable's own AI pivot raises stakes),$50–100/mo (Airtable bundles 20–25K AI credits at Business/Enterprise — AI expectations are being set now),Business+,V2. Airtable runs its own MCP server on live data; ours is the GOVERNED/backup-side counterpart
RAG service + vector database,AI,Feature Access + storage,Real infra: embeddings + vector store (pgvector recommended) + inference,Med–High,$50–100/mo,Business+,V2. Significant infrastructure; price must cover real COGS
Hosted chatbot + embed code + filters,AI,Feature Access,Inference per conversation,Med,$25–50/mo,Business+,V2
AI skills (custom routines) + bring-your-own-model,AI,Feature Access,Build/support effort,Med (enterprise-specific),Custom pricing,Enterprise,V2
Basic usage metrics (backup stats),Analytics,Feature Access,Negligible (from backup metadata),Low (expected hygiene),$0 — table stakes,Core — all tiers,✅ Built (basic). Not monetizable alone
Record trend + storage growth charts,Analytics,Feature Access,Negligible on dynamic DB,Low–Med,$0–5/mo,Launch+,❌ Not built
Custom reports + custom dashboards,Analytics,Count (5 reports/3 dashboards → unlimited),Complex UI build; negligible run cost,Med,$15–25/mo,Business+,V2
Scheduled report delivery,Analytics,Feature Access,Negligible,Med,$5–10/mo,Business+,❌ Not built. Async email pattern already proven in category
Report export (PDF/CSV),Analytics,Feature Access,Negligible,Low,$0–5/mo,Pro+,❌ Not built
Governance suite (quality rules / classification / lineage / retention policies / access controls),Governance,Feature Access,Moderate — full dynamic DB + rule engine,High (enterprise/compliance segment),$100–200/mo (governance is why external-copy backup gets budget at all),Business+,V2 — entire capability. Category is VACANT: no dedicated Airtable governance product exists (verified 2026-07)
Compliance reporting + SOC 2/GDPR tooling + data lifecycle,Governance,Feature Access,Moderate,High (enterprise),Custom pricing,Enterprise,V2. Gated by Baseout's own SOC 2 timeline — can't sell compliance we don't have
Audit trail (Baseout-side actions),Governance,Feature Access,Small storage,Med–High,$10–25/mo,Business+,V2
Baseout Inbound API (submit automations/interfaces/metadata),Integrations,Calls/mo (10K → 50K → 200K → unlimited),~Zero per call,Med (enabler for automation/interface backup),$10–20/mo,Growth+,❌ Placeholder service. V1. Credit-metered: 1 cr / 100 calls
SQL REST API (query hosted DB over HTTP),Integrations,Queries/mo (10K → 50K → unlimited),~Zero per query,High,$25–50/mo,Pro+,❌ Placeholder service. V1. 1 cr / 50 queries
Direct SQL access (connection string),Integrations,Feature Access,DB instance cost (dedicated PG),Essential (data-liberation buyer),"$100–250/mo (anchor: post-Sequin gap — Whalesync $120–200/mo at 10–50K records sync-only; Stacksync $1,000/mo floor; we bundle it WITH governed backup)",Business+,❌ Not built. V1. Read-only by default; write = Enterprise opt-in
BYODB (bring your own PostgreSQL),Integrations,Feature Access,~Zero at rest (customer hosts) — support cost only,High (enterprise: data never leaves their environment),$100–200/mo premium,Enterprise,Unique in market — competitors moving AWAY from BYO; pairs with BYOS as the privacy story
Inbound webhooks,Integrations,Feature Access,~Zero,Med,$5–10/mo,Pro+,❌ Not built
Zapier / Make connectors,Integrations,Feature Access,Partnership + build effort,Med,$10–20/mo,Business+,V2. Backup events join the automation fabric
HyperDB integration + Airtable writeback + custom connectors,Integrations,Feature Access,Build + risk (writeback needs safeguards),Med,Custom pricing,Enterprise,V2
Notification channels (Email / In-app / Slack / Teams / Webhook / PagerDuty),Notifications,Channel access ladder,~Zero,Med (Slack is a real workflow want for RevOps),$5–15/mo for Slack+,Email+in-app all tiers / Slack Growth+ / webhook Business+ / Teams+PagerDuty Enterprise,Email only today. Channel ladder is cheap tier texture
Spaces,Admin / Platform,Count (1 → 3 → unlimited),Negligible per Space (SpaceDO + scheduling),High (consultants need one per client),Consultant WTP scales per client managed,1 Trial / 3 Starter+Launch / unlimited Growth+,✅ Built. Unlimited-at-Growth targets the consultant segment breakpoint
Bases per Space,Admin / Platform,Count (1 → 3 → unlimited),Transfer compute scales with bases,High,Included in tier value,1 Trial / 3 Starter+Launch / unlimited Growth+,✅ Built
Team members (seats),Admin / Platform,Seats (1 → 15 → unlimited),Negligible,Med,$6–12/extra seat (published add-on rates),Ladder per tier; unlimited Business+,✅ Built. Deliberately NOT per-seat pricing — flat tiers + cheap add-on seats undercut Airtable's per-seat model
Transfer credits (monthly allotment),Admin / Billing,"Credits (1K → 400K/mo; meters backup, restore, API, AI)",Direct COGS proxy — credits map to transfer compute + storage ops,Essential (the value metric itself),"Effective rate $0.001–0.003/cr in-plan; overage $0.004–0.008/cr",Core — every tier; the primary sizing lever,"✅ Specced. Replaces On2Air record/attachment caps — ""no artificial limits"" is a migration selling point"
Onboarding credits (one-time grant),Admin / Billing,Credits (500 → 75K),One-time COGS,Med (removes first-backup anxiety),Free — conversion lever not revenue,Core — all tiers; sized to ~2 months typical usage for migrating cohorts,Also the On2Air migration sweetener (2K–80K grants)
Recurring credit add-ons (Small/Medium/Large/XLarge),Admin / Billing,Credits (+5K → +150K/mo),Same COGS as plan credits,Med,"$25–420/mo published ($0.0022–0.005/cr)",Add-On (Launch–Business),Bridges predictable gaps without forcing upgrade; always cheaper than overage; no rollover
Overage controls (auto-bill vs hard-cap + alerts),Admin / Billing,Feature Access,Negligible,Med–High (bill-shock trust),Not monetized — churn protection,Core — all tiers (default: cap+pause),Alert thresholds 50/75/90/100%; user-set dollar caps
Support ladder (community → email → priority → chat → CSM+SLA),Admin / Support,Response tier,Real headcount cost scaling with tier,Med (High at Enterprise),Bundled; SLA justifies Enterprise custom pricing,Ladder across all tiers,CSM + SLA at Enterprise only
